Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5 Turbo,32000 km,4.0,Tiptronic,Front,4-5,Left wheel,Green,14,Very High
-,HONDA,FIT,2005,Hatchback,No,Petrol,1.3,0 km,4.0,Automatic,Front,4-5,Right-hand drive,Silver,4,Low
765,TOYOTA,Camry,2015,Sedan,No,Petrol,2,0 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Low
638,KIA,Optima,2014,Sedan,Yes,Petrol,2,60704 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
751,HYUNDAI,Santa FE,2013,Jeep,Yes,Petrol,2.4,150440 km,4.0,Automatic,Front,4-5,Left wheel,Silver,11,Low
583,HYUNDAI,I30,2011,Hatchback,Yes,Petrol,1.6,188244 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Medium
259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,110958 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Low
765,MERCEDES-BENZ,C 300,2015,Sedan,Yes,Petrol,2,64003 km,4.0,Automatic,Rear,4-5,Left wheel,Silver,12,Low
746,TOYOTA,Prius,2009,Sedan,No,Hybrid,1.5,271256 km,4.0,Automatic,Front,4-5,Left wheel,Grey,8,Medium
585,LEXUS,CT 200h,2013,Hatchback,Yes,Hybrid,1.8,65989 km,4.0,Automatic,Front,4-5,Left wheel,Silver,0,Medium
874,MITSUBISHI,Mirage,2013,Hatchback,No,Petrol,1,40000 km,3.0,Automatic,Front,4-5,Right-hand drive,Blue,6,Medium
-,VOLKSWAGEN,Jetta,2013,Sedan,Yes,Petrol,2.5,81200 km,5.0,Manual,Front,4-5,Left wheel,Silver,12,High
1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,4-5,Left wheel,Black,0,Very High
-,OPEL,Agila,2008,Hatchback,No,LPG,1.2,236000 km,4.0,Manual,Front,4-5,Left wheel,White,4,Medium
3811,OPEL,Astra,2000,Goods wagon,No,CNG,1.6,135000 km,4.0,Manual,Front,4-5,Right-hand drive,Silver,2,Low
1018,FORD,Escape,2011,Jeep,Yes,Petrol,3,70000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Grey,8,Medium
640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,53283 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
640,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2,224077 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,182821 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Very High
891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,239291 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
640,VOLKSWAGEN,GTI,2013,Hatchback,Yes,Petrol,2,162142 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
364,CHEVROLET,Spark,2012,Hatchback,Yes,Petrol,1,50261 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Medium
-,MERCEDES-BENZ,G 350,1995,Jeep,Yes,Diesel,3.2 Turbo,213700 km,6.0,Tiptronic,4x4,4-5,Left wheel,Silver,8,Very High
585,HYUNDAI,Elantra,2013,Sedan,No,Petrol,1.8,102675 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,High
707,SSANGYONG,Actyon,2011,Sedan,Yes,Diesel,2,173987 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,High
640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,174619 km,4.0,Automatic,Front,4-5,Left wheel,Grey,0,Low
1273,LEXUS,RX 350,2015,Jeep,Yes,Petrol,3.5,71939 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
530,KIA,RIO,2013,Sedan,Yes,Petrol,1.6,53386 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
-,MITSUBISHI,Pajero,1997,Jeep,Yes,Petrol,3.5,0 km,6.0,Tiptronic,4x4,2-3,Right-hand drive,Silver,8,Medium
259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,138491 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Low
639,FORD,Focus,2014,Sedan,Yes,Petrol,2,121600 km,4.0,Tiptronic,Front,4-5,Left wheel,Blue,10,Medium
1172,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3.5,186542 km,6.0,Automatic,4x4,4-5,Left wheel,White,12,Low
761,DAEWOO,Lacetti,2010,Sedan,Yes,Petrol,1.8,46527 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Medium
831,SSANGYONG,Actyon,2017,Jeep,Yes,Diesel,1.6,87764 km,4.0,Automatic,Front,4-5,Left wheel,Blue,4,Very High
-,TOYOTA,Prius,2013,Sedan,No,Hybrid,1.8,156000 km,4.0,Variator,Front,4-5,Left wheel,Black,4,Medium
-,MITSUBISHI,ColtPlus,2007,Hatchback,No,Petrol,1.5,180000 km,4.0,Automatic,Front,4-5,Right-hand drive,Silver,6,Medium
-,TOYOTA,Camry,2010,Sedan,Yes,Hybrid,2.4,120000 km,4.0,Variator,Front,4-5,Left wheel,Grey,10,Very High
607,TOYOTA,RAV 4,2019,Jeep,Yes,Hybrid,2.5,20955 km,4.0,Automatic,4x4,4-5,Left wheel,White,12,Very High
1091,TOYOTA,Camry,2016,Sedan,Yes,Petrol,2.5,70066 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Medium
-,TOYOTA,Prius,2012,Hatchback,Yes,Hybrid,1.8,160000 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Very High
586,LEXUS,CT 200h,2012,Hatchback,Yes,Hybrid,1.8,76427 km,4.0,Automatic,Front,4-5,Left wheel,Silver,0,Low
-,BMW,X5,2010,Jeep,Yes,Diesel,3.0 Turbo,180000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Black,8,Very High
765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,272769 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,High
639,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,117436 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,132630 km,6.0,Automatic,Rear,4-5,Left wheel,Silver,12,Low
765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,404303 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
1324,TOYOTA,Highlander,2010,Sedan,Yes,Hybrid,3.3,345405 km,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,Medium
394,TOYOTA,Camry,2014,Coupe,Yes,Hybrid,2.5,374808 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,58548 km,4.0,Automatic,Front,4-5,Left wheel,White,4,High
694,JAGUAR,XF,2014,Sedan,Yes,Diesel,2.2,75494 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
639,HYUNDAI,Genesis,2014,Coupe,Yes,Petrol,2,148915 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
1288,NISSAN,Sentra,2007,Sedan,Yes,Petrol,2,0 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
-,MERCEDES-BENZ,GLS 450,2018,Jeep,Yes,Petrol,3,31000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Black,0,Very High
649,RENAULT,Megane,2010,Universal,No,Diesel,1.5 Turbo,176000 km,4.0,Manual,Front,4-5,Left wheel,Silver,4,Medium
777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,106533 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
1079,HYUNDAI,Elantra,2018,Sedan,Yes,Petrol,2,17254 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Low
781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,159379 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
1514,MERCEDES-BENZ,GL 450,2011,Jeep,Yes,Petrol,4.6,163298 km,8.0,Automatic,4x4,4-5,Left wheel,White,12,Low
585,LEXUS,CT 200h,2013,Hatchback,Yes,Hybrid,1.8,129000 km,4.0,Automatic,Front,4-5,Left wheel,White,8,Very High
781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,125000 km,4.0,Variator,Front,4-5,Left wheel,Black,12,High
584,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.8,81819 km,4.0,Automatic,Front,4-5,Left wheel,White,4,High
502,TOYOTA,Prius C,2013,Hatchback,Yes,Hybrid,1.5,142000 km,4.0,Automatic,Front,4-5,Left wheel,Blue,8,Medium
531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,165294 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,High
-,FORD,Transit,1999,Microbus,No,CNG,4,0 km,8.0,Manual,Rear,2-3,Left wheel,Blue,0,Medium
642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,119310 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Very High
917,BMW,X5,2013,Sedan,Yes,Diesel,3,0 km,6.0,Automatic,4x4,4-5,Left wheel,Black,0,Low
645,TOYOTA,Corolla,2011,Sedan,Yes,Petrol,1.8,239907 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Low
-,TOYOTA,Land Cruiser Prado,2018,Jeep,Yes,Diesel,3.0 Turbo,92000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Blue,12,Very High
-,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.8,121600 km,4.0,Tiptronic,Front,4-5,Left wheel,Brown,4,High
-,VOLKSWAGEN,Jetta,2000,Sedan,No,Petrol,2,150000 km,4.0,Manual,Front,4-5,Left wheel,Black,4,Low
1234,MAZDA,CX-9,2011,Sedan,Yes,Petrol,3.7,134157 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
397,LEXUS,CT 200h,2016,Hatchback,Yes,Hybrid,1.8,71904 km,4.0,Automatic,Front,4-5,Left wheel,White,0,Medium
-,FORD,Transit,2004,Goods wagon,No,Diesel,2.0 Turbo,245452 km,4.0,Manual,Front,4-5,Left wheel,Red,4,Medium
1079,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2,25850 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Low
-,MERCEDES-BENZ,E 220,2000,Sedan,No,Petrol,2.4,19000 km,6.0,Tiptronic,Rear,4-5,Left wheel,Blue,4,Medium
919,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3,271701 km,6.0,Automatic,4x4,4-5,Left wheel,White,12,Very High
2266,TOYOTA,Sienta,2018,Minivan,Yes,Petrol,1.5,15000 km,4.0,Automatic,Front,4-5,Right-hand drive,Black,2,High
836,SSANGYONG,Actyon,2010,Sedan,Yes,Diesel,2,120682 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
-,BMW,550,2012,Sedan,Yes,Petrol,4.4,0 km,8.0,Tiptronic,Rear,4-5,Left wheel,Black,6,Very High
-,MERCEDES-BENZ,A 200,2005,Hatchback,Yes,Petrol,2,123456 km,4.0,Tiptronic,Front,4-5,Left wheel,Silver,6,Medium
730,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.6,79845 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
-,BMW,Z4,2003,Cabriolet,Yes,Petrol,2.5,15000 km,6.0,Manual,Rear,2-3,Left wheel,Blue,2,High
-,VOLKSWAGEN,T3,1997,Hatchback,No,Petrol,1.6,3568 km,4.0,Manual,Front,4-5,Left wheel,Red,2,Low
1408,CHEVROLET,HHR,2007,Jeep,Yes,Petrol,2.2,207442 km,4.0,Automatic,Front,4-5,Left wheel,Red,12,Low
779,SUBARU,Impreza,2013,Sedan,Yes,Petrol,2.5,114350 km,4.0,Automatic,4x4,4-5,Left wheel,Black,0,Very High
-,MERCEDES-BENZ,C 220,2000,Sedan,No,Diesel,2.2,309000 km,4.0,Automatic,Rear,4-5,Left wheel,Silver,8,Medium
1360,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,4-5,Left wheel,Black,0,Very High
919,MERCEDES-BENZ,GL 350,2012,Jeep,Yes,Diesel,3,149171 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,156151 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
-,MERCEDES-BENZ,C 300,2017,Sedan,Yes,Petrol,2.0 Turbo,56800 km,6.0,Tiptronic,Rear,4-5,Left wheel,Black,12,Very High
1017,HYUNDAI,Elantra,2017,Sedan,Yes,Petrol,2,83845 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
-,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,99000 km,4.0,Variator,Front,4-5,Left wheel,White,10,Very High
394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
1451,BMW,X5,2011,Sedan,Yes,Petrol,4.4,139363 km,8.0,Automatic,4x4,4-5,Left wheel,Black,0,Low
-,MERCEDES-BENZ,B 200 Turbo,2006,Hatchback,Yes,Petrol,2.0 Turbo,161000 km,4.0,Variator,Front,4-5,Left wheel,Silver,8,Medium
585,TOYOTA,Prius,2013,Sedan,Yes,Hybrid,1.8,114526 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
474,CHEVROLET,Volt,2013,Hatchback,Yes,Hybrid,1.4,0 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Medium
-,VOLKSWAGEN,Golf,1992,Hatchback,No,CNG,1.8,288094 km,4.0,Manual,Front,4-5,Left wheel,Black,1,Low
1598,MERCEDES-BENZ,ML 280,2008,Jeep,Yes,Diesel,3,218000 km,6.0,Automatic,4x4,4-5,Left wheel,Grey,8,Very High
